profile_env	Lisbon_Sewage	Barcelona_Sewage	Berlin_Sewage	Hong_Kong_Sewage	Porto_Sewage	Santiago_Sewage	Singapore_Sewage	Sofia_Sewage	Taipei_Sewage	Vienna_Sewage	Bogota_Sewage	Hanoi_Sewage	Ilorin_Sewage	Kuala_Lumpur_Sewage	Oslo_Sewage	Rio_de_Janeiro_Sewage	Barcelona_Transit	Berlin_Transit	Bogota_Transit	Hanoi_Transit	Hong_Kong_Transit	Ilorin_Transit	Kuala_Lumpur_Transit	Lisbon_Transit	Oslo_Transit	Porto_Transit	Rio_de_Janeiro_Transit	Santiago_Transit	Singapore_Transit	Sofia_Transit	Taipei_Transit	Vienna_Transit
Lisbon_Sewage	0	0.6017699115044248	0.624	0.6627450980392157	0.5267175572519084	0.6390977443609023	0.6627450980392157	0.603448275862069	0.6415929203539823	0.60431654676259	0.7345132743362832	0.7061224489795919	0.7388059701492536	0.6372549019607843	0.6666666666666666	0.6875000000000001	0.9065420560747663	0.9159663865546218	0.8761061946902654	0.8028169014084507	0.8389830508474576	0.7540983606557378	0.767605633802817	0.8482142857142857	0.888888888888889	0.8584905660377359	0.8264462809917354	0.9150943396226415	0.8867924528301886	0.8487394957983194	0.8547008547008548	0.811965811965812
Barcelona_Sewage	0.6017699115044248	0	0.6444444444444445	0.8218623481781376	0.5700000000000001	0.7403846153846154	0.8122448979591836	0.4657534246575342	0.8046511627906977	0.6415094339622641	0.8761904761904762	0.8441558441558442	0.7473684210526316	0.8	0.5217391304347826	0.7446808510638298	0.864406779661017	0.8873239436619719	0.8153846153846155	0.8235294117647058	0.7916666666666666	0.725	0.8317757009345794	0.8382352941176471	0.8333333333333333	0.8166666666666667	0.7567567567567568	0.8983050847457628	0.8275862068965517	0.7746478873239436	0.8	0.8133333333333332
Berlin_Sewage	0.624	0.6444444444444445	0	0.7651821862348178	0.6106194690265486	0.6574074074074074	0.7651821862348178	0.6153846153846153	0.7511520737327189	0.6017699115044248	0.798076923076923	0.7782608695652173	0.7333333333333334	0.7395833333333334	0.6966292134831461	0.7058823529411764	0.8750000000000001	0.8928571428571428	0.8333333333333333	0.8245614035087719	0.8117647058823529	0.7526881720430108	0.8017241379310345	0.8375	0.8493150684931507	0.8194444444444444	0.7954545454545454	0.9027777777777779	0.8611111111111112	0.7976190476190476	0.7901234567901235	0.8023255813953488
Hong_Kong_Sewage	0.6627450980392157	0.8218623481781376	0.7651821862348178	0	0.7063492063492063	0.728744939271255	0.20454545454545456	0.8008130081300814	0.35205992509363293	0.7176470588235294	0.36964980544747084	0.2625482625482625	0.8063241106719368	0.36254980079681276	0.8367346938775511	0.7613168724279835	0.9669421487603307	0.9561752988047809	0.9473684210526316	0.7928286852589642	0.937007874015748	0.86	0.7580645161290321	0.9262295081967213	0.9588477366255144	0.946058091286307	0.9130434782608696	0.970954356846473	0.95850622406639	0.9328063241106719	0.9404761904761905	0.9206349206349206
Porto_Sewage	0.5267175572519084	0.5700000000000001	0.6106194690265486	0.7063492063492063	0	0.5811965811965811	0.680161943319838	0.6	0.6905829596412556	0.6124031007751938	0.7395348837209302	0.6926406926406927	0.7874015748031497	0.6512820512820513	0.6568627450980392	0.6923076923076924	0.9032258064516129	0.9038461538461539	0.8333333333333333	0.8076923076923077	0.8155339805825244	0.7314814814814815	0.7969924812030075	0.8	0.8829787234042553	0.8351648351648352	0.8018867924528301	0.9130434782608696	0.8804347826086956	0.8155339805825244	0.8446601941747572	0.8190476190476191
Santiago_Sewage	0.6390977443609023	0.7403846153846154	0.6574074074074074	0.728744939271255	0.5811965811965811	0	0.7183673469387756	0.59375	0.7096774193548387	0.6746031746031746	0.7303921568627451	0.722466960352423	0.7543859649122806	0.7193877551020408	0.6702127659574468	0.7064220183486238	0.9156626506024096	0.9263157894736842	0.8636363636363636	0.7777777777777778	0.8421052631578948	0.7745098039215685	0.7666666666666667	0.8409090909090908	0.8928571428571428	0.880952380952381	0.8383838383838385	0.9268292682926829	0.8902439024390244	0.8297872340425533	0.8494623655913979	0.8210526315789474
Singapore_Sewage	0.6627450980392157	0.8122448979591836	0.7651821862348178	0.20454545454545456	0.680161943319838	0.7183673469387756	0	0.7959183673469388	0.33333333333333337	0.7125984251968503	0.39463601532567055	0.3018867924528302	0.8015873015873015	0.34274193548387094	0.8414634146341463	0.7714285714285715	0.9669421487603307	0.9561752988047809	0.9344262295081968	0.788	0.9328063241106719	0.8508064516129031	0.7630522088353413	0.9349593495934959	0.9588477366255144	0.9416666666666667	0.9043824701195219	0.970954356846473	0.9628099173553718	0.9285714285714286	0.9362549800796812	0.9206349206349206
Sofia_Sewage	0.603448275862069	0.4657534246575342	0.6153846153846153	0.8008130081300814	0.6	0.59375	0.7959183673469388	0	0.786046511627907	0.6296296296296297	0.8571428571428571	0.8217391304347825	0.71875	0.7659574468085107	0.5070422535211268	0.7291666666666666	0.890625	0.8933333333333333	0.8260869565217391	0.8190476190476191	0.7866666666666667	0.7073170731707317	0.81651376146789	0.8142857142857143	0.8615384615384616	0.8636363636363636	0.7532467532467533	0.921875	0.8387096774193548	0.7702702702702703	0.7945205479452054	0.7922077922077922
Taipei_Sewage	0.6415929203539823	0.8046511627906977	0.7511520737327189	0.35205992509363293	0.6905829596412556	0.7096774193548387	0.33333333333333337	0.786046511627907	0	0.6919642857142857	0.40909090909090906	0.3622047244094488	0.7706422018348624	0.4159663865546218	0.8433179723502304	0.7405660377358491	0.9463414634146341	0.9395348837209303	0.9238095238095239	0.8044444444444444	0.9174311926605504	0.8271028037383178	0.7713004484304933	0.9245283018867925	0.9420289855072463	0.9268292682926829	0.8790697674418605	0.9560975609756098	0.9414634146341464	0.9124423963133641	0.9311926605504587	0.908256880733945
Vienna_Sewage	0.60431654676259	0.6415094339622641	0.6017699115044248	0.7176470588235294	0.6124031007751938	0.6746031746031746	0.7125984251968503	0.6296296296296297	0.6919642857142857	0	0.7465437788018433	0.7427385892116184	0.7398373983739838	0.693069306930693	0.62	0.7777777777777778	0.9042553191489361	0.8942307692307693	0.8585858585858585	0.7812500000000001	0.8285714285714285	0.7567567567567568	0.732283464566929	0.8613861386138613	0.8842105263157896	0.8854166666666666	0.780952380952381	0.913978494623656	0.8817204301075269	0.8173076923076924	0.8349514563106796	0.8095238095238095
Bogota_Sewage	0.7345132743362832	0.8761904761904762	0.798076923076923	0.36964980544747084	0.7395348837209302	0.7303921568627451	0.39463601532567055	0.8571428571428571	0.40909090909090906	0.7465437788018433	0	0.3811475409836066	0.7772277227722773	0.4721030042918455	0.888888888888889	0.7512690355329951	0.9627659574468085	0.949238578680203	0.9378238341968913	0.7843137254901961	0.9408866995073892	0.8725490196078431	0.7475247524752475	0.9384615384615386	0.9578947368421054	0.9301075268817204	0.9268292682926829	0.9623655913978495	0.962962962962963	0.9408866995073892	0.9504950495049505	0.9203980099502488
Hanoi_Sewage	0.7061224489795919	0.8441558441558442	0.7782608695652173	0.2625482625482625	0.6926406926406927	0.722466960352423	0.3018867924528302	0.8217391304347825	0.3622047244094488	0.7427385892116184	0.3811475409836066	0	0.7965367965367965	0.39419087136929465	0.8846153846153846	0.7633928571428572	0.9633027522935781	0.9606986899563319	0.936936936936937	0.7709251101321586	0.9162995594713657	0.8451327433628318	0.7543859649122806	0.923076923076923	0.954337899543379	0.9400921658986175	0.908695652173913	0.967741935483871	0.9539170506912442	0.9210526315789475	0.9434782608695652	0.9170305676855895
Ilorin_Sewage	0.7388059701492536	0.7473684210526316	0.7333333333333334	0.8063241106719368	0.7874015748031497	0.7543859649122806	0.8015873015873015	0.71875	0.7706422018348624	0.7398373983739838	0.7772277227722773	0.7965367965367965	0	0.7743589743589745	0.7582417582417582	0.7352941176470588	0.8857142857142858	0.9024390243902439	0.8717948717948718	0.787037037037037	0.8048780487804877	0.7444444444444445	0.8070175438596492	0.8750000000000001	0.8428571428571429	0.9066666666666667	0.8160919540229885	0.9142857142857143	0.8382352941176471	0.8048780487804877	0.8414634146341463	0.7654320987654321
Kuala_Lumpur_Sewage	0.6372549019607843	0.8	0.7395833333333334	0.36254980079681276	0.6512820512820513	0.7193877551020408	0.34274193548387094	0.7659574468085107	0.4159663865546218	0.693069306930693	0.4721030042918455	0.39419087136929465	0.7743589743589745	0	0.8191489361702128	0.7272727272727273	0.9494382022471909	0.9414893617021276	0.9175824175824175	0.787878787878788	0.8989361702127658	0.8191489361702128	0.7563451776649746	0.9184782608695652	0.9385474860335195	0.9147727272727273	0.8958333333333334	0.9548022598870056	0.9378531073446328	0.9047619047619047	0.9090909090909091	0.8941798941798942
Oslo_Sewage	0.6666666666666666	0.5217391304347826	0.6966292134831461	0.8367346938775511	0.6568627450980392	0.6702127659574468	0.8414634146341463	0.5070422535211268	0.8433179723502304	0.62	0.888888888888889	0.8846153846153846	0.7582417582417582	0.8191489361702128	0	0.7956989247311829	0.8703703703703703	0.9104477611940298	0.7966101694915254	0.8247422680412371	0.791044776119403	0.7532467532467533	0.8333333333333333	0.8032786885245902	0.8363636363636363	0.8596491228070176	0.7536231884057971	0.8867924528301886	0.8301886792452831	0.7538461538461538	0.7812500000000001	0.7971014492753623
Rio_de_Janeiro_Sewage	0.6875000000000001	0.7446808510638298	0.7058823529411764	0.7613168724279835	0.6923076923076924	0.7064220183486238	0.7714285714285715	0.7291666666666666	0.7405660377358491	0.7777777777777778	0.7512690355329951	0.7633928571428572	0.7352941176470588	0.7272727272727273	0.7956989247311829	0	0.8840579710144928	0.9012345679012346	0.8701298701298702	0.7962962962962964	0.8170731707317073	0.782608695652174	0.7837837837837839	0.8133333333333332	0.8732394366197184	0.8428571428571429	0.8275862068965517	0.9130434782608696	0.8529411764705882	0.8452380952380951	0.8674698795180723	0.8352941176470587
Barcelona_Transit	0.9065420560747663	0.864406779661017	0.8750000000000001	0.9669421487603307	0.9032258064516129	0.9156626506024096	0.9669421487603307	0.890625	0.9463414634146341	0.9042553191489361	0.9627659574468085	0.9633027522935781	0.8857142857142858	0.9494382022471909	0.8703703703703703	0.8840579710144928	0	0.6428571428571429	0.56	0.8208955223880596	0.6857142857142856	0.78	0.8648648648648648	0.7741935483870968	0.5499999999999999	0.5714285714285715	0.6923076923076924	0.5	0.7142857142857143	0.6470588235294118	0.7352941176470588	0.7368421052631579
Berlin_Transit	0.9159663865546218	0.8873239436619719	0.8928571428571428	0.9561752988047809	0.9038461538461539	0.9263157894736842	0.9561752988047809	0.8933333333333333	0.9395348837209303	0.8942307692307693	0.949238578680203	0.9606986899563319	0.9024390243902439	0.9414893617021276	0.9104477611940298	0.9012345679012346	0.6428571428571429	0	0.5454545454545454	0.8181818181818181	0.7391304347826086	0.7413793103448275	0.8292682926829268	0.6486486486486487	0.7575757575757575	0.6451612903225806	0.5	0.6153846153846153	0.8181818181818181	0.7111111111111111	0.8043478260869564	0.7755102040816326
Bogota_Transit	0.8761061946902654	0.8153846153846155	0.8333333333333333	0.9473684210526316	0.8333333333333333	0.8636363636363636	0.9344262295081968	0.8260869565217391	0.9238095238095239	0.8585858585858585	0.9378238341968913	0.936936936936937	0.8717948717948718	0.9175824175824175	0.7966101694915254	0.8701298701298702	0.56	0.5454545454545454	0	0.7972972972972973	0.6666666666666666	0.7090909090909091	0.825	0.6285714285714286	0.6551724137931034	0.5714285714285715	0.5813953488372093	0.5217391304347826	0.7241379310344828	0.6341463414634146	0.738095238095238	0.7111111111111111
Hanoi_Transit	0.8028169014084507	0.8235294117647058	0.8245614035087719	0.7928286852589642	0.8076923076923077	0.7777777777777778	0.788	0.8190476190476191	0.8044444444444444	0.7812500000000001	0.7843137254901961	0.7709251101321586	0.787037037037037	0.787878787878788	0.8247422680412371	0.7962962962962964	0.8208955223880596	0.8181818181818181	0.7972972972972973	0	0.7625	0.6428571428571429	0.42528735632183906	0.8026315789473685	0.8450704225352113	0.8472222222222222	0.7469879518072289	0.8507462686567165	0.8732394366197184	0.7625	0.8571428571428571	0.7831325301204819
Hong_Kong_Transit	0.8389830508474576	0.7916666666666666	0.8117647058823529	0.937007874015748	0.8155339805825244	0.8421052631578948	0.9328063241106719	0.7866666666666667	0.9174311926605504	0.8285714285714285	0.9408866995073892	0.9162995594713657	0.8048780487804877	0.8989361702127658	0.791044776119403	0.8170731707317073	0.6857142857142856	0.7391304347826086	0.6666666666666666	0.7625	0	0.6271186440677966	0.761904761904762	0.7916666666666666	0.5588235294117647	0.717948717948718	0.7321428571428571	0.7428571428571429	0.5757575757575757	0.35	0.46341463414634143	0.48888888888888893
Ilorin_Transit	0.7540983606557378	0.725	0.7526881720430108	0.86	0.7314814814814815	0.7745098039215685	0.8508064516129031	0.7073170731707317	0.8271028037383178	0.7567567567567568	0.8725490196078431	0.8451327433628318	0.7444444444444445	0.8191489361702128	0.7532467532467533	0.782608695652174	0.78	0.7413793103448275	0.7090909090909091	0.6428571428571429	0.6271186440677966	0	0.6	0.7627118644067796	0.72	0.7499999999999999	0.6129032258064516	0.7959183673469388	0.76	0.6271186440677966	0.7213114754098361	0.6612903225806451
Kuala_Lumpur_Transit	0.767605633802817	0.8317757009345794	0.8017241379310345	0.7580645161290321	0.7969924812030075	0.7666666666666667	0.7630522088353413	0.81651376146789	0.7713004484304933	0.732283464566929	0.7475247524752475	0.7543859649122806	0.8070175438596492	0.7563451776649746	0.8333333333333333	0.7837837837837839	0.8648648648648648	0.8292682926829268	0.825	0.42528735632183906	0.761904761904762	0.6	0	0.8571428571428571	0.8243243243243243	0.8421052631578948	0.8021978021978022	0.8611111111111112	0.8513513513513514	0.761904761904762	0.7682926829268292	0.7228915662650602
Lisbon_Transit	0.8482142857142857	0.8382352941176471	0.8375	0.9262295081967213	0.8	0.8409090909090908	0.9349593495934959	0.8142857142857143	0.9245283018867925	0.8613861386138613	0.9384615384615386	0.923076923076923	0.8750000000000001	0.9184782608695652	0.8032786885245902	0.8133333333333332	0.7741935483870968	0.6486486486486487	0.6285714285714286	0.8026315789473685	0.7916666666666666	0.7627118644067796	0.8571428571428571	0	0.8611111111111112	0.6451612903225806	0.5681818181818182	0.6666666666666666	0.8529411764705882	0.7916666666666666	0.8541666666666666	0.8235294117647058
Oslo_Transit	0.888888888888889	0.8333333333333333	0.8493150684931507	0.9588477366255144	0.8829787234042553	0.8928571428571428	0.9588477366255144	0.8615384615384616	0.9420289855072463	0.8842105263157896	0.9578947368421054	0.954337899543379	0.8428571428571429	0.9385474860335195	0.8363636363636363	0.8732394366197184	0.5499999999999999	0.7575757575757575	0.6551724137931034	0.8450704225352113	0.5588235294117647	0.72	0.8243243243243243	0.8611111111111112	0	0.6799999999999999	0.8	0.65	0.4210526315789474	0.5588235294117647	0.5161290322580645	0.5833333333333334
Porto_Transit	0.8584905660377359	0.8166666666666667	0.8194444444444444	0.946058091286307	0.8351648351648352	0.880952380952381	0.9416666666666667	0.8636363636363636	0.9268292682926829	0.8854166666666666	0.9301075268817204	0.9400921658986175	0.9066666666666667	0.9147727272727273	0.8596491228070176	0.8428571428571429	0.5714285714285715	0.6451612903225806	0.5714285714285715	0.8472222222222222	0.717948717948718	0.7499999999999999	0.8421052631578948	0.6451612903225806	0.6799999999999999	0	0.6904761904761904	0.4444444444444445	0.76	0.717948717948718	0.763157894736842	0.761904761904762
Rio_de_Janeiro_Transit	0.8264462809917354	0.7567567567567568	0.7954545454545454	0.9130434782608696	0.8018867924528301	0.8383838383838385	0.9043824701195219	0.7532467532467533	0.8790697674418605	0.780952380952381	0.9268292682926829	0.908695652173913	0.8160919540229885	0.8958333333333334	0.7536231884057971	0.8275862068965517	0.6923076923076924	0.5	0.5813953488372093	0.7469879518072289	0.7321428571428571	0.6129032258064516	0.8021978021978022	0.5681818181818182	0.8	0.6904761904761904	0	0.7105263157894737	0.8444444444444443	0.7090909090909091	0.8070175438596492	0.7627118644067796
Santiago_Transit	0.9150943396226415	0.8983050847457628	0.9027777777777779	0.970954356846473	0.9130434782608696	0.9268292682926829	0.970954356846473	0.921875	0.9560975609756098	0.913978494623656	0.9623655913978495	0.967741935483871	0.9142857142857143	0.9548022598870056	0.8867924528301886	0.9130434782608696	0.5	0.6153846153846153	0.5217391304347826	0.8507462686567165	0.7428571428571429	0.7959183673469388	0.8611111111111112	0.6666666666666666	0.65	0.4444444444444445	0.7105263157894737	0	0.7499999999999999	0.7428571428571429	0.7575757575757575	0.7567567567567568
Singapore_Transit	0.8867924528301886	0.8275862068965517	0.8611111111111112	0.95850622406639	0.8804347826086956	0.8902439024390244	0.9628099173553718	0.8387096774193548	0.9414634146341464	0.8817204301075269	0.962962962962963	0.9539170506912442	0.8382352941176471	0.9378531073446328	0.8301886792452831	0.8529411764705882	0.7142857142857143	0.8181818181818181	0.7241379310344828	0.8732394366197184	0.5757575757575757	0.76	0.8513513513513514	0.8529411764705882	0.4210526315789474	0.76	0.8444444444444443	0.7499999999999999	0	0.6176470588235294	0.6666666666666666	0.6756756756756758
Sofia_Transit	0.8487394957983194	0.7746478873239436	0.7976190476190476	0.9328063241106719	0.8155339805825244	0.8297872340425533	0.9285714285714286	0.7702702702702703	0.9124423963133641	0.8173076923076924	0.9408866995073892	0.9210526315789475	0.8048780487804877	0.9047619047619047	0.7538461538461538	0.8452380952380951	0.6470588235294118	0.7111111111111111	0.6341463414634146	0.7625	0.35	0.6271186440677966	0.761904761904762	0.7916666666666666	0.5588235294117647	0.717948717948718	0.7090909090909091	0.7428571428571429	0.6176470588235294	0	0.425	0.45454545454545453
Taipei_Transit	0.8547008547008548	0.8	0.7901234567901235	0.9404761904761905	0.8446601941747572	0.8494623655913979	0.9362549800796812	0.7945205479452054	0.9311926605504587	0.8349514563106796	0.9504950495049505	0.9434782608695652	0.8414634146341463	0.9090909090909091	0.7812500000000001	0.8674698795180723	0.7352941176470588	0.8043478260869564	0.738095238095238	0.8571428571428571	0.46341463414634143	0.7213114754098361	0.7682926829268292	0.8541666666666666	0.5161290322580645	0.763157894736842	0.8070175438596492	0.7575757575757575	0.6666666666666666	0.425	0	0.41463414634146345
Vienna_Transit	0.811965811965812	0.8133333333333332	0.8023255813953488	0.9206349206349206	0.8190476190476191	0.8210526315789474	0.9206349206349206	0.7922077922077922	0.908256880733945	0.8095238095238095	0.9203980099502488	0.9170305676855895	0.7654320987654321	0.8941798941798942	0.7971014492753623	0.8352941176470587	0.7368421052631579	0.7755102040816326	0.7111111111111111	0.7831325301204819	0.48888888888888893	0.6612903225806451	0.7228915662650602	0.8235294117647058	0.5833333333333334	0.761904761904762	0.7627118644067796	0.7567567567567568	0.6756756756756758	0.45454545454545453	0.41463414634146345	0
